name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,starship_class,pilots,films,pilots_count,films_count
CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000,150,950,30-165,600,3000000,corvette,[],"['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/6/']",0,3
Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000,"1,600",975,"47,060",n/a,36000000,Star Destroyer,[],"['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",0,3
Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,1000,5,75,180000,landing craft,[],['https://swapi.py4e.com/api/films/1/'],0,1
Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,n/a,"342,953","843,342",1000000000000,Deep Space Mobile Battlestation,[],['https://swapi.py4e.com/api/films/1/'],0,1
Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000,34.37,1050,4,6,100000,Light freighter,"['https://swapi.py4e.com/api/people/13/', 'https://swapi.py4e.com/api/people/14/', 'https://swapi.py4e.com/api/people/25/', 'https://swapi.py4e.com/api/people/31/']","['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/', 'https://swapi.py4e.com/api/films/7/']",4,4
Y-wing,BTL Y-wing,Koensayr Manufacturing,134999,14,1000km,2,0,110,assault starfighter,[],"['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",0,3
X-wing,T-65 X-wing,Incom Corporation,149999,12.5,1050,1,0,110,Starfighter,"['https://swapi.py4e.com/api/people/1/', 'https://swapi.py4e.com/api/people/9/', 'https://swapi.py4e.com/api/people/18/', 'https://swapi.py4e.com/api/people/19/']","['https://swapi.py4e.com/api/films/1/', 'https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",4,3
TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,unknown,9.2,1200,1,0,150,Starfighter,['https://swapi.py4e.com/api/people/4/'],['https://swapi.py4e.com/api/films/1/'],1,1
Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,n/a,"279,144",38000,250000000,Star dreadnought,[],"['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",0,2
Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",unknown,90,650,6,90,19000000,Medium transport,[],"['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",0,2
Slave 1,Firespray-31-class patrol and attack,Kuat Systems Engineering,unknown,21.5,1000,1,6,70000,Patrol craft,['https://swapi.py4e.com/api/people/22/'],"['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/5/']",1,2
Imperial shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,240000,20,850,6,20,80000,Armed government transport,"['https://swapi.py4e.com/api/people/1/', 'https://swapi.py4e.com/api/people/13/', 'https://swapi.py4e.com/api/people/14/']","['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",3,2
EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Kuat Drive Yards,8500000,300,800,854,75,6000000,Escort ship,[],"['https://swapi.py4e.com/api/films/2/', 'https://swapi.py4e.com/api/films/3/']",0,2
Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000,1200,n/a,5400,1200,unknown,Star Cruiser,[],['https://swapi.py4e.com/api/films/3/'],0,1
A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1300,1,0,40,Starfighter,['https://swapi.py4e.com/api/people/29/'],['https://swapi.py4e.com/api/films/3/'],1,1
B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000,16.9,950,1,0,45,Assault Starfighter,[],['https://swapi.py4e.com/api/films/3/'],0,1
Republic Cruiser,Consular-class cruiser,Corellian Engineering Corporation,unknown,115,900,9,16,unknown,Space cruiser,[],['https://swapi.py4e.com/api/films/4/'],0,1
Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",unknown,3170,n/a,175,139000,4000000000,Droid control ship,[],"['https://swapi.py4e.com/api/films/4/', 'https://swapi.py4e.com/api/films/5/', 'https://swapi.py4e.com/api/films/6/']",0,3
Naboo fighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1100,1,0,65,Starfighter,"['https://swapi.py4e.com/api/people/11/', 'https://swapi.py4e.com/api/people/35/', 'https://swapi.py4e.com/api/people/60/']","['https://swapi.py4e.com/api/films/4/', 'https://swapi.py4e.com/api/films/5/']",3,2
Naboo Royal Starship,J-type 327 Nubian royal starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",unknown,76,920,8,unknown,unknown,yacht,['https://swapi.py4e.com/api/people/39/'],['https://swapi.py4e.com/api/films/4/'],1,1
Scimitar,Star Courier,Republic Sienar Systems,55000000,26.5,1180,1,6,2500000,Space Transport,['https://swapi.py4e.com/api/people/44/'],['https://swapi.py4e.com/api/films/4/'],1,1
J-type diplomatic barge,J-type diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,2000,5,10,unknown,Diplomatic barge,[],['https://swapi.py4e.com/api/films/5/'],0,1
AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,unknown,390,unknown,unknown,30000,unknown,freighter,[],['https://swapi.py4e.com/api/films/5/'],0,1
Jedi starfighter,Delta-7 Aethersprite-class interceptor,Kuat Systems Engineering,180000,8,1150,1,0,60,Starfighter,"['https://swapi.py4e.com/api/people/10/', 'https://swapi.py4e.com/api/people/58/']","['https://swapi.py4e.com/api/films/5/', 'https://swapi.py4e.com/api/films/6/']",2,2
H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,unknown,47.9,8000,4,unknown,unknown,yacht,['https://swapi.py4e.com/api/people/35/'],['https://swapi.py4e.com/api/films/5/'],1,1
Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,unknown,752,unknown,700,16000,11250000,assault ship,[],['https://swapi.py4e.com/api/films/5/'],0,1
Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,1600,3,11,240,yacht,[],['https://swapi.py4e.com/api/films/5/'],0,1
Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,1050,600,48247,50000000,capital ship,"['https://swapi.py4e.com/api/people/10/', 'https://swapi.py4e.com/api/people/11/']",['https://swapi.py4e.com/api/films/6/'],2,1
Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000,18.5,2000,5,16,50000,transport,[],['https://swapi.py4e.com/api/films/6/'],0,1
Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,975,7400,2000,20000000,star destroyer,[],['https://swapi.py4e.com/api/films/6/'],0,1
Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",unknown,29.2,1050,3,3,unknown,yacht,"['https://swapi.py4e.com/api/people/10/', 'https://swapi.py4e.com/api/people/35/']",['https://swapi.py4e.com/api/films/6/'],2,1
Jedi Interceptor,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,320000,5.47,1500,1,0,60,starfighter,"['https://swapi.py4e.com/api/people/10/', 'https://swapi.py4e.com/api/people/11/']",['https://swapi.py4e.com/api/films/6/'],2,1
arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000,14.5,1000,3,0,110,starfighter,[],['https://swapi.py4e.com/api/films/6/'],0,1
Banking clan frigte,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,unknown,200,unknown,40000000,cruiser,[],['https://swapi.py4e.com/api/films/6/'],0,1
Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1100,1,0,140,starfighter,"['https://swapi.py4e.com/api/people/10/', 'https://swapi.py4e.com/api/people/79/']",['https://swapi.py4e.com/api/films/6/'],2,1
V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,102500,7.9,1050,1,0,60,starfighter,[],['https://swapi.py4e.com/api/films/6/'],0,1
X-wing,T-70 X-wing,Incom Corporation,200000,12.49,1100,1,0,110,Starfighter,['https://swapi.py4e.com/api/people/86/'],['https://swapi.py4e.com/api/films/7/'],1,1
